Revenue from sale of books (EUR Bn),2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Consumer (trade) books,11.7,11.4,11.0,11.0,10.8,10.8,10.5,10.6,10.8,11.0
Children's books,2.8,2.8,2.7,2.7,2.7,2.8,2.9,2.9,2.9,2.9
Educational/schools,4.4,4.7,4.7,4.4,4.3
Academic/professional,4.3,4.2,4.1,4.2,4.0
Total,22.3,22.3,22.2,22,22.4
